Reference,Qty,Value,Manufacturer,MPN,Description,Package,Supplier,Supplier PN,Lifecycle,Library device,Notes
TP4,1,VBUS,,,1,TESTPOINT-1.5,,,,TESTPOINT,Test point: VBUS
TP5,1,IO3,,,1,TESTPOINT-1.5,,,,TESTPOINT,Test point: IO3 spare / ANG2_OUT
TP6,1,TMP_ALERT,,,1,TESTPOINT-1.5,,,,TESTPOINT,Test point: TMP117 ALERT (not routed to a GPIO)
TP7,1,IMU_INT1,,,1,TESTPOINT-1.5,,,,TESTPOINT,Test point: IMU interrupt 1
TP8,1,AS_OUT,,,1,TESTPOINT-1.5,,,,TESTPOINT,"AS5600 analog/PWM OUT (unused, I2C is used)"
TP9,1,AS_PGO,,,1,TESTPOINT-1.5,,,,TESTPOINT,AS5600 PGO programming pin (internal pull-up)
U1,1,TP4056,NanJing Top Power,TP4056-42-SOP8-PP,"NanJing Top Power TP4056-42-SOP8-PP 1 A standalone linear Li-ion charger, 4",SOIC-8-N,,,,TP4056,"1 A linear Li-ion charger, 4.2 V float"
U2,1,AP2112K-3.3,,,Diodes AP2112K-3,SOT-23-5,,,,AP2112K-3.3,"600 mA LDO, 3.3 V fixed"
U3,1,ESP32-S3-WROOM-1-N8R2,Espressif Systems,ESP32-S3-WROOM-1-N8R2,Espressif ESP32-S3-WROOM-1-N8R2,ESP32-S3-WROOM-1,,,,ESP32-S3-WROOM-1,"Central MCU: Xtensa LX7 dual core, Wi-Fi + BLE 5, 8 MB flash, 2 MB PSRAM"
U4,1,TMP117,Texas Instruments,TMP117AIDRVR,"TI TMP117AIDRVR high-accuracy digital temperature sensor, WSON-6 (DRV)",WSON-6-DRV0006B,,,,TMP117,"Digital temperature sensor, I2C addr 0x48"
U5,1,LSM6DSOX,STMicroelectronics,LSM6DSOXTR,"ST LSM6DSOXTR 6-axis IMU (3-axis accel + 3-axis gyro), LGA-14L",LGA-14L-2.5X3.0,,,,LSM6DSOX,"6-axis IMU, I2C addr 0x6A"
U6,1,AS5600,ams-OSRAM,AS5600-ASOM,"ams-OSRAM AS5600-ASOM 12-bit contactless magnetic rotary position sensor, SOIC-8",SOIC-8-N,,,,AS5600,"12-bit magnetic angle sensor, I2C addr 0x36 (fixed)"
U7,1,AD8232,Analog Devices,AD8232ACPZ-R7,Analog Devices AD8232ACPZ-R7 single-lead heart-rate monitor front end,LFCSP-20-4X4-P050,,,,AD8232,Single-lead ECG analog front end (Vs 2.0-3.5 V)
U8,1,HX711,Avia Semiconductor,HX711,"Avia Semiconductor HX711 24-bit ADC for bridge sensors, SOP-16L",SOP-16-N,,,,HX711,24-bit bridge ADC for the load cell
